jogador,rodada,numero,cor,resultado,saldo
1,721,3,Vermelho,Vitória,225
1,722,27,Vermelho,Vitória,230
1,723,34,Vermelho,Vitória,235
1,724,16,Vermelho,Vitória,240
1,725,7,Vermelho,Vitória,245
1,726,13,Preto,Derrota,240
1,727,36,Vermelho,Vitória,245
1,728,25,Vermelho,Vitória,250
1,729,15,Preto,Derrota,245
1,730,21,Vermelho,Vitória,250
1,731,20,Preto,Derrota,245
1,732,23,Vermelho,Vitória,250
1,733,35,Preto,Derrota,245
1,734,0,Verde,Derrota,240
1,735,2,Preto,Derrota,235
1,736,0,Verde,Derrota,230
1,737,20,Preto,Derrota,225
1,738,18,Vermelho,Vitória,230
1,739,23,Vermelho,Vitória,235
1,740,6,Preto,Derrota,230
1,741,19,Vermelho,Vitória,235
1,742,2,Preto,Derrota,230
1,743,6,Preto,Derrota,225
1,744,13,Preto,Derrota,220
1,745,24,Preto,Derrota,215
1,746,8,Preto,Derrota,210
1,747,13,Preto,Derrota,205
1,748,4,Preto,Derrota,200
1,749,14,Vermelho,Vitória,205
1,750,28,Preto,Derrota,200
1,751,16,Vermelho,Vitória,205
1,752,0,Verde,Derrota,200
1,753,2,Preto,Derrota,195
1,754,2,Preto,Derrota,190
1,755,18,Vermelho,Vitória,195
1,756,30,Vermelho,Vitória,200
1,757,28,Preto,Derrota,195
1,758,14,Vermelho,Vitória,200
1,759,6,Preto,Derrota,195
1,760,12,Vermelho,Vitória,200
1,761,17,Preto,Derrota,195
1,762,4,Preto,Derrota,190
1,763,6,Preto,Derrota,185
1,764,6,Preto,Derrota,180
1,765,8,Preto,Derrota,175
1,766,22,Preto,Derrota,170
1,767,4,Preto,Derrota,165
1,768,29,Preto,Derrota,160
1,769,27,Vermelho,Vitória,165
1,770,14,Vermelho,Vitória,170
1,771,16,Vermelho,Vitória,175
1,772,29,Preto,Derrota,170
1,773,23,Vermelho,Vitória,175
1,774,15,Preto,Derrota,170
1,775,22,Preto,Derrota,165
1,776,20,Preto,Derrota,160
1,777,1,Vermelho,Vitória,165
1,778,0,Verde,Derrota,160
1,779,8,Preto,Derrota,155
1,780,26,Preto,Derrota,150
1,781,32,Vermelho,Vitória,155
1,782,29,Preto,Derrota,150
1,783,35,Preto,Derrota,145
1,784,34,Vermelho,Vitória,150
1,785,9,Vermelho,Vitória,155
1,786,32,Vermelho,Vitória,160
1,787,6,Preto,Derrota,155
1,788,35,Preto,Derrota,150
1,789,20,Preto,Derrota,145
1,790,6,Preto,Derrota,140
1,791,17,Preto,Derrota,135
1,792,20,Preto,Derrota,130
1,793,36,Vermelho,Vitória,135
1,794,4,Preto,Derrota,130
1,795,12,Vermelho,Vitória,135
1,796,26,Preto,Derrota,130
1,797,11,Preto,Derrota,125
1,798,1,Vermelho,Vitória,130
1,799,9,Vermelho,Vitória,135
1,800,17,Preto,Derrota,130
1,801,12,Vermelho,Vitória,135
1,802,35,Preto,Derrota,130
1,803,30,Vermelho,Vitória,135
1,804,5,Vermelho,Vitória,140
1,805,11,Preto,Derrota,135
1,806,9,Vermelho,Vitória,140
1,807,14,Vermelho,Vitória,145
1,808,15,Preto,Derrota,140
1,809,36,Vermelho,Vitória,145
1,810,24,Preto,Derrota,140
1,811,17,Preto,Derrota,135
1,812,14,Vermelho,Vitória,140
1,813,9,Vermelho,Vitória,145
1,814,12,Vermelho,Vitória,150
1,815,9,Vermelho,Vitória,155
1,816,19,Vermelho,Vitória,160
1,817,7,Vermelho,Vitória,165
1,818,22,Preto,Derrota,160
1,819,31,Preto,Derrota,155
1,820,36,Vermelho,Vitória,160
1,821,31,Preto,Derrota,155
